'87feda1,devy.viray,2018-10-29 15:50:39 +0800,Merge branch 'Expenses''
'34c0aaa,devy.viray,2018-10-29 15:48:22 +0800,CRUD for expenses / Dropdown for grouping of tab'
'ff67b3d,Terrence Tejada,2018-10-29 02:04:59 +0800,Sort to desc expenses entries'
'5899331,devy.viray,2018-10-26 17:18:32 +0800,Expenses Report Module(Displaying, Search, Pagination)'
'c51e390,devy.viray,2018-10-25 18:23:03 +0800,Merge branch 'Dashboard''
'fb5094c,devy.viray,2018-10-25 18:21:45 +0800,dashboard Summary Report(Displaying pagination, search and percentage)'
'fef04c0,Terrence Tejada,2018-10-24 18:56:16 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'ec0dce6,devy.viray,2018-10-24 18:30:33 +0800,Merge branch 'DisplayPicture''
'8767891,devy.viray,2018-10-24 18:29:33 +0800,Show remarks in displaying of photo'
'1784739,devy.viray,2018-10-24 18:18:12 +0800,Merge branch 'Dashboard''
'b664e01,devy.viray,2018-10-24 18:16:32 +0800,Schedule Summary Report(Displaying, Count of todays schedule,Count of completed, Percentage)'
'd45b65b,Terrence Tejada,2018-10-24 15:57:59 +0800,API to check if TSR has a schedule'
'041cede,devy.viray,2018-10-24 12:26:11 +0800,Merge branch 'DisplayPicture''
'd79ca62,devy.viray,2018-10-24 12:14:26 +0800,Displaying of sign out photo'
'afd1f7c,jhonmarcod95,2018-10-24 09:45:32 +0800,Merge remote-tracking branch 'origin/master''
'b37e36f,jhonmarcod95,2018-10-24 09:36:09 +0800,Mobile Responsive Logout'
'd67a6a2,devy.viray,2018-10-24 09:17:09 +0800,Merge branch 'Dashboard''
'9860900,devy.viray,2018-10-24 09:14:56 +0800,Add rendered hours to completed task'
'94c2489,devy.viray,2018-10-23 18:06:12 +0800,Merge branch 'Dashboard''
'cd7f44d,devy.viray,2018-10-23 18:02:53 +0800,Dashboard module(Currennt visiting, Completed task, Todays schedule, Recent time in, Performance summary)'
'6b92a46,Terrence Tejada,2018-10-23 17:44:15 +0800,Merge branch 'master' of https://github.com/jhonmarcod95/salesman'
'd75fb57,Terrence Tejada,2018-10-23 17:44:04 +0800,Add API change password module'
